Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
1,3,3,3,3,302,34,370,281,0,""
3,3,3,3,3,253,6,343,383,0,""
3,4,122,171,24,32,32,351,261,0,""
2,111,11,21,231,31,11,341,241,0,""
1,4,23,131,171,23,271,342,34,0,""
30,50,80,100,130,10,270,310,20,0,""
1,1,3,4,4,4,271,421,291,0,""
3,4,122,171,24,32,32,261,351,0,""
4,4,34,161,211,22,12,341,211,0,""
1,1,122,31,21,231,11,341,241,0,""
43,33,103,153,4,253,4,4,403,0,""
0,0,100,0,100,0,400,400,0,0,""
1,1,2,3,3,242,242,253,253,0,""
0,0,100,150,200,250,300,0,0,0,""
29,66,100,133,166,250,250,3,3,0,""
0,0,0,0,0,0,250,350,400,0,""
50,50,50,75,100,150,150,175,200,0,""
6,9,115,133,163,211,337,13,13,0,""
0,0,0,0,0,0,0,0,1000,0,""
0,10,40,80,160,320,100,20,270,0,""
31,32,32,152,182,222,265,42,42,0,""
7,13,22,22,52,156,336,338,54,0,""
1,1,1,1,1,200,200,200,395,0,""
111,111,111,111,111,111,111,111,112,0,""
8,13,21,34,55,89,144,233,403,0,""
400,400,100,50,40,6,2,1,1,0,""
50,0,150,200,200,0,0,0,400,0,""
20,40,60,80,100,120,140,160,280,0,""
6,13,29,60,125,12,256,10,489,0,""
4,17,50,12,174,47,260,398,38,0,""
25,135,207,55,207,223,53,95,0,0,""
17,40,63,86,109,134,157,181,213,0,""
12,40,50,110,0,220,230,338,0,0,""
